Quantity,OrderDate,ProductID
15,1997-09-30,26
48,1997-10-03,62
7,1997-10-08,19
12,1997-10-09,47
40,1997-10-10,68
24,1997-10-14,48
20,1997-10-16,16
5,1997-10-20,19
5,1997-10-20,47
12,1997-10-21,19
30,1997-10-22,26
50,1997-10-22,47
37,1997-10-24,21
20,1997-10-27,16
20,1997-10-27,62
45,1997-10-29,68
15,1997-10-30,26
30,1997-11-04,21
40,1997-11-04,50
15,1997-11-05,16
40,1997-11-06,21
3,1997-11-12,16
9,1997-11-19,62
12,1997-11-24,26
20,1997-11-24,50
30,1997-11-26,47
30,1997-11-27,62
6,1997-11-27,68
20,1997-11-28,26
12,1997-12-01,25
40,1997-12-01,27
35,1997-12-02,25
30,1997-12-02,47
40,1997-12-03,21
40,1997-12-05,68
15,1997-12-08,62
20,1997-12-16,16
20,1997-12-16,62
50,1997-12-22,19
18,1997-12-22,68
15,1997-12-23,68
65,1997-12-24,16
21,1997-12-25,26
2,1997-12-26,62
5,1997-12-29,62
24,1997-12-30,19
15,1997-12-30,25
4,1997-12-30,49
5,1998-01-01,25
15,1998-01-02,19
8,1998-01-05,48
40,1998-01-06,26
45,1998-01-06,62
3,1998-01-08,62
12,1998-01-09,26
5,1998-01-13,20
24,1998-01-13,68
2,1998-01-14,19
10,1998-01-14,25
40,1998-01-16,47
6,1998-01-19,25
20,1998-01-20,68
12,1998-01-22,19
20,1998-01-23,25
18,1998-01-23,26
10,1998-01-26,25
50,1998-01-26,62
50,1998-01-27,16
35,1998-01-28,26
10,1998-01-29,27
40,1998-01-30,21
3,1998-01-30,62
20,1998-02-04,26
42,1998-02-04,49
20,1998-02-04,68
12,1998-02-05,16
20,1998-02-05,62
25,1998-02-06,19
20,1998-02-06,21
21,1998-02-06,47
15,1998-02-06,49
30,1998-02-09,16
20,1998-02-10,20
20,1998-02-11,49
40,1998-02-12,21
5,1998-02-13,25
18,1998-02-16,68
6,1998-02-23,62
35,1998-02-24,62
20,1998-02-24,68
15,1998-02-26,16
12,1998-02-26,19
10,1998-02-26,49
6,1998-02-27,16
24,1998-03-02,16
24,1998-03-02,25
24,1998-03-03,50
7,1998-03-04,19
5,1998-03-05,20
60,1998-03-05,21
5,1998-03-05,47
30,1998-03-06,16
36,1998-03-06,21
25,1998-03-06,27
14,1998-03-06,62
28,1998-03-11,49
30,1998-03-11,62
80,1998-03-11,68
9,1998-03-13,50
60,1998-03-13,62
50,1998-03-16,20
28,1998-03-17,16
12,1998-03-17,21
14,1998-03-17,47
12,1998-03-20,62
12,1998-03-23,19
40,1998-03-23,49
5,1998-03-24,26
40,1998-03-26,21
30,1998-03-26,27
30,1998-03-26,47
91,1998-03-30,16
15,1998-03-30,20
40,1998-03-31,62
65,1998-04-01,21
6,1998-04-07,26
50,1998-04-09,19
2,1998-04-09,68
2,1998-04-13,49
35,1998-04-14,19
15,1998-04-14,20
63,1998-04-14,26
12,1998-04-15,26
21,1998-04-16,62
15,1998-04-20,21
60,1998-04-21,49
20,1998-04-22,21
12,1998-04-23,62
42,1998-04-24,68
15,1998-04-28,25
3,1998-04-29,21
3,1998-05-01,16
42,1998-05-01,19
55,1998-05-01,68
30,1998-05-05,16
22,1998-05-05,50
16,1998-05-06,16
10,1998-05-06,19
1,1998-05-06,20
