Quantity,OrderDate
65,1997-04-02
35,1997-04-03
84,1997-04-04
49,1997-04-07
20,1997-04-08
40,1997-04-09
57,1997-04-10
137,1997-04-11
29,1997-04-15
20,1997-04-16
3,1997-04-17
182,1997-04-18
31,1997-04-21
259,1997-04-22
116,1997-04-23
141,1997-04-24
29,1997-04-25
66,1997-04-28
26,1997-04-29
109,1997-04-30
136,1997-05-01
45,1997-05-02
128,1997-05-05
20,1997-05-06
24,1997-05-07
137,1997-05-08
39,1997-05-09
128,1997-05-12
80,1997-05-13
186,1997-05-14
8,1997-05-15
23,1997-05-16
174,1997-05-19
39,1997-05-20
114,1997-05-21
10,1997-05-22
124,1997-05-23
24,1997-05-26
203,1997-05-27
78,1997-05-28
48,1997-05-29
105,1997-05-30
108,1997-06-02
74,1997-06-03
71,1997-06-04
30,1997-06-05
80,1997-06-06
20,1997-06-09
142,1997-06-10
43,1997-06-11
166,1997-06-12
5,1997-06-13
65,1997-06-16
114,1997-06-17
75,1997-06-18
105,1997-06-19
58,1997-06-20
99,1997-06-23
26,1997-06-24
31,1997-06-25
104,1997-06-26
18,1997-06-27
94,1997-06-30
44,1997-07-02
140,1997-07-03
4,1997-07-04
154,1997-07-07
25,1997-07-08
78,1997-07-09
215,1997-07-10
126,1997-07-11
9,1997-07-14
129,1997-07-16
5,1997-07-17
58,1997-07-18
105,1997-07-21
253,1997-07-22
28,1997-07-23
13,1997-07-24
52,1997-07-25
245,1997-07-28
67,1997-07-29
5,1997-07-30
89,1997-07-31
90,1997-08-01
40,1997-08-04
55,1997-08-05
20,1997-08-06
80,1997-08-07
18,1997-08-08
87,1997-08-11
54,1997-08-12
47,1997-08-13
58,1997-08-14
151,1997-08-15
65,1997-08-18
101,1997-08-19
109,1997-08-20
35,1997-08-21
130,1997-08-22
83,1997-08-25
35,1997-08-26
118,1997-08-27
65,1997-08-28
85,1997-08-29
42,1997-09-01
58,1997-09-02
20,1997-09-03
225,1997-09-04
279,1997-09-05
52,1997-09-09
131,1997-09-10
31,1997-09-11
105,1997-09-12
57,1997-09-15
192,1997-09-16
39,1997-09-17
17,1997-09-18
70,1997-09-19
31,1997-09-22
292,1997-09-23
60,1997-09-24
92,1997-09-25
59,1997-09-26
24,1997-09-29
96,1997-09-30
127,1997-10-01
50,1997-10-02
154,1997-10-03
276,1997-10-06
34,1997-10-07
107,1997-10-08
108,1997-10-09
77,1997-10-10
118,1997-10-13
116,1997-10-14
24,1997-10-15
121,1997-10-16
87,1997-10-17
195,1997-10-21
239,1997-10-22
51,1997-10-23
57,1997-10-24
131,1997-10-27
29,1997-10-28
145,1997-10-29
21,1997-10-30
22,1997-10-31
70,1997-11-03
98,1997-11-04
13,1997-11-05
50,1997-11-06
126,1997-11-07
22,1997-11-10
76,1997-11-11
24,1997-11-12
94,1997-11-13
120,1997-11-14
78,1997-11-17
92,1997-11-18
156,1997-11-19
143,1997-11-20
70,1997-11-21
56,1997-11-24
12,1997-11-25
69,1997-11-26
122,1997-11-27
110,1997-11-28
30,1997-12-01
122,1997-12-02
176,1997-12-03
80,1997-12-04
77,1997-12-05
146,1997-12-08
15,1997-12-09
59,1997-12-10
162,1997-12-11
9,1997-12-12
195,1997-12-15
60,1997-12-16
59,1997-12-17
97,1997-12-18
122,1997-12-19
138,1997-12-22
47,1997-12-23
78,1997-12-24
89,1997-12-25
142,1997-12-26
175,1997-12-29
95,1997-12-30
38,1997-12-31
102,1998-01-01
124,1998-01-02
133,1998-01-05
120,1998-01-06
97,1998-01-07
32,1998-01-08
131,1998-01-09
86,1998-01-12
127,1998-01-13
47,1998-01-14
83,1998-01-15
224,1998-01-16
134,1998-01-19
143,1998-01-20
284,1998-01-21
347,1998-01-22
116,1998-01-23
78,1998-01-26
228,1998-01-27
80,1998-01-28
137,1998-01-29
130,1998-01-30
191,1998-02-02
70,1998-02-03
135,1998-02-04
112,1998-02-05
13,1998-02-06
66,1998-02-09
142,1998-02-10
67,1998-02-11
128,1998-02-12
145,1998-02-13
139,1998-02-16
55,1998-02-17
663,1998-02-18
147,1998-02-19
16,1998-02-20
90,1998-02-23
96,1998-02-24
29,1998-02-25
278,1998-02-26
101,1998-02-27
116,1998-03-02
144,1998-03-03
115,1998-03-04
94,1998-03-05
195,1998-03-06
83,1998-03-09
206,1998-03-10
173,1998-03-11
161,1998-03-12
96,1998-03-13
144,1998-03-16
99,1998-03-17
129,1998-03-18
297,1998-03-19
57,1998-03-20
73,1998-03-23
83,1998-03-24
56,1998-03-25
273,1998-03-26
228,1998-03-27
158,1998-03-30
205,1998-03-31
438,1998-04-01
82,1998-04-02
215,1998-04-03
360,1998-04-06
28,1998-04-07
274,1998-04-08
220,1998-04-09
92,1998-04-10
203,1998-04-13
178,1998-04-14
149,1998-04-15
121,1998-04-16
708,1998-04-17
165,1998-04-20
113,1998-04-21
89,1998-04-22
92,1998-04-23
69,1998-04-24
180,1998-04-27
210,1998-04-28
105,1998-04-29
151,1998-04-30
177,1998-05-01
101,1998-05-04
313,1998-05-05
151,1998-05-06
